"意外な事実！タコの心臓は3つあるんだって。2つはエラに血液を送り、残り1つが体全体に血液を送るんだよ。❤️🐙 #海の豆知識 #驚き"
"知ってた？ハチミツは腐らない。エジプトの古代墓から見つかった3000年以上前のハチミツがまだ食べられるんだ！🍯 #スイートヒストリー"
"信じられる？バナナはベリーの一種だけど、イチゴはそうじゃないんだよ。🍌🍓 #フルーツの豆知識 #驚き"
"猫は飼い主との間で独自の「言葉」を持っていて、100種類以上の音を出せるんだ。ニャーニャー知ってる？🐱 #猫好き #猫の豆知識"
"フラミンゴの群れは「フラボヤンス」って呼ばれるんだよ。ぴったりな名前だね！🦩✨ #自然の驚き #フラミンゴ"
"エッフェル塔は夏になると15cmも高くなることがあるんだ。熱膨張ってすごいね！🗼☀️ #パリの秘密"
"一番高価なピザは12000ドルで、キャビアや食用金箔、ロブスターがトッピングされてるんだ。🍕💰 #フードファクト #贅沢ライフ"
"エビの心臓は頭にあるんだよ。💖🦐 #海の生き物 #驚き"
"海のカワウソは眠るときに手をつないで流されないようにするんだ。🦦💤 #かわいすぎる #自然の美しさ"
"宇宙には地球上のすべての砂粒よりも多くの星があるんだ。🌌✨ #宇宙 #驚きの事実"
"ナマケモノは水中で最大40分間も息を止められるんだ。🦥🌊 #動物の世界 #ナマケモノ"
"人間はDNAの50%をバナナと共有しているんだ。🍌🧬 #遺伝学 #驚きの事実"
"南極大陸は地球上で最も乾燥し、風が強く、寒い場所なんだ。🧊❄️ #自然の驚き #南極"
"金星の1日は金星の1年よりも長いんだよ。🪐⏳ #宇宙の豆知識 #驚き"
"牛には親友がいて、離されるとストレスを感じるんだ。🐄❤️ #農場の生活 #動物の豆知識"
"タコの赤ちゃんは生まれたときにノミくらいの大きさなんだ。🐙🦐 #海の豆知識 #驚き"
"ハトは自分の映像を鏡で認識できるんだよ。🕊️🪞 #動物の知性 #ハトの豆知識"
"1本のスパゲッティは「スパゲット」って呼ばれるんだ。🍝🍽️ #フードファクト #パスタ好き"
"カタツムリは最大3年間も眠ることができるんだ。🐌💤 #自然の驚き #カタツムリ"
"チェスの試合の可能な組み合わせは、宇宙のすべての原子の数よりも多いんだ。♟️🌌 #チェス #驚きの事実"
"最も短い戦争は1896年8月27日に起こったイギリスとザンジバルの間の戦争で、ザンジバルは38分後に降伏したんだ。⏱️⚔️ #歴史 #豆知識"
"人間の鼻は5万種類の匂いを覚えることができるんだ。👃💐 #人間の体 #驚きの事実"
"最も長い双子の出生時間の差は87日なんだよ。👶👶 #双子の豆知識 #驚き"
"「ボノボ」という名前は誤記から生まれたんだ。ボノボという類人猿はザイールのボロボという町で初めて発見されたんだよ。🦍✍️ #動物の豆知識"
"最も短い商用飛行はたったの57秒なんだ。✈️🕒 #旅行の豆知識 #航空"
"世界最古のガムは9000年以上前のもので、まだ噛めるんだよ。🍬🕰️ #歴史 #驚きの事実"
"雷の一撃には、10万枚のパンを焼くのに十分なエネルギーが含まれているんだ。🌩️🍞 #天気の豆知識 #雷"
"プリングルズの缶の発明者は、自分の遺体をその缶に埋葬されたんだ。🥔📦 #フードファクト #驚きの事実"
"「ジフィ」は実際の時間単位で、1/100秒なんだ。🕒⚡ #時間の豆知識 #ジフィ"
"平均的な雲の重さは約110万ポンドなんだ。☁️⚖️ #天気の豆知識 #驚き"
"人間の体には石鹸7本分の脂肪が含まれているんだ。🧼💦 #健康の豆知識 #人間の体"
"アメリカ最高裁判所の建物の最上階にはバスケットボールコートがあり、「最高のコート」と呼ばれているんだ。🏀🏛️ #興味深い事実 #アメリカ"
"ワニは舌を突き出すことができないんだ。🐊👅 #動物の豆知識 #驚き"
"鼻をつまんでいるとハミングができないんだ。試してみて！🎵👃 #人間の体 #面白い実験"
"世界の人口はロサンゼルスに収まることができるんだ。🏙️🌍 #都市の豆知識 #驚きの事実"
"雷の一撃は太陽の表面よりも高温に達することができるんだ。🌩️☀️ #天気の豆知識 #雷"
"ノミは自分の身長の200倍の高さまで跳ぶことができるんだ。🦟🏅 #動物の豆知識 #驚き"
"コアラの指紋は人間のものとほとんど同じなんだ。🐨👣 #自然の豆知識 #驚き"
"アメリカにはマクドナルドよりも公共図書館の方が多いんだよ。📚🍔 #豆知識 #読書"
"1杯のハチミツは12匹のハチの生涯の働きの成果なんだ。🍯🐝 #自然の豆知識 #驚き"
"ナメクジには4つの鼻があるんだ。🐌👃 #動物の豆知識 #驚き"
"最も長い英単語は189,819文字で、発音するのに3時間以上かかるんだよ。📖🕒 #言語の豆知識 #驚き"
"カバの唇は約2フィート（約60cm）の幅があるんだ。🦛👄 #動物の豆知識 #驚き"
"ナマコは肛門から呼吸するんだ。🥒🌊 #海の豆知識 #驚き"
"10セント硬貨（ダイム）には118本のギザギザがあるんだ。💰🔍 #お金の豆知識 #驚き"
"1ドルに対するお釣りの組み合わせは293通りあるんだ。💵💡 #金融の豆知識 #驚き"
"ユニコーンはスコットランドの国の動物なんだ。🦄🏴󠁧󠁢󠁳󠁣󠁴󠁿 #国の動物" 
"スタバの秘密！お誕生日に行くと、無料でドリンクをもらえるよ！🎂☕️ #スタバ #オトク情報"
"誕生日月にIKEAファミリーカードを持って行くと、無料でデザートがもらえるんだ！🎉🍰 #IKEA #オトク情報"
"知らなかった？アマゾンプライム会員なら、数百本の映画やドラマが見放題！🎬📺 #アマゾンプライム #オトク"
"コストコのピザを冷凍すると、美味しさが長持ちするよ！🍕🧊 #コストコ #オトク情報"
"楽天ポイントを使ってマクドナルドで支払い可能！🍔💳 #楽天ポイント #マクドナルド"
"Uber Eatsで初回注文すると割引クーポンがもらえるよ！🚲🍱 #UberEats #オトク情報"
